MD5,trial,label,PennElementType,PennElementName,Parameter,Value,participant_id,group,no,item,exp,condition,cb,left,right,target,results_time,event_time,elapsed_ms
5ea96059c7f8c9bb71d4ecdb67ea496e,13,experiment,Key,r6,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,17,6,1,focus,n,6a,6b,,2025-09-22 16:33:59+00:00,2025-09-22 16:09:32.652000+00:00,707.0
5ea96059c7f8c9bb71d4ecdb67ea496e,13,experiment,Key,r7,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,17,6,1,focus,n,6a,6b,,2025-09-22 16:33:59+00:00,2025-09-22 16:09:33.308000+00:00,656.0
5ea96059c7f8c9bb71d4ecdb67ea496e,13,experiment,Selector,choice_selector,Selection,left_canvas,60d26e7cd9f0761e4d12b9f8,a,17,6,1,focus,n,6a,6b,,2025-09-22 16:33:59+00:00,2025-09-22 16:09:37.157000+00:00,3849.0
5ea96059c7f8c9bb71d4ecdb67ea496e,14,experiment,EyeTracker,tracker,calibration,60,60d26e7cd9f0761e4d12b9f8,a,91,28,2,self-directed,n,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:09:41.185000+00:00,4024.0
5ea96059c7f8c9bb71d4ecdb67ea496e,14,experiment,EyeTracker,tracker,Filename,httpsfarmpcibexnetpzCPVqO/e48687db-1afc-905a-9709-fabcc6e4dfe4,60d26e7cd9f0761e4d12b9f8,a,91,28,2,self-directed,n,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:10:00.151000+00:00,18966.0
5ea96059c7f8c9bb71d4ecdb67ea496e,14,experiment,Canvas,right_canvas,Print,NA,60d26e7cd9f0761e4d12b9f8,a,91,28,2,self-directed,n,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:09:59.073000+00:00,-1078.0
5ea96059c7f8c9bb71d4ecdb67ea496e,14,experiment,Key,r0,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,91,28,2,self-directed,n,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:09:47.216000+00:00,-11857.0
5ea96059c7f8c9bb71d4ecdb67ea496e,14,experiment,Key,r1,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,91,28,2,self-directed,n,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:09:47.907000+00:00,691.0
5ea96059c7f8c9bb71d4ecdb67ea496e,14,experiment,Key,r2,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,91,28,2,self-directed,n,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:09:48.501000+00:00,594.0
5ea96059c7f8c9bb71d4ecdb67ea496e,14,experiment,Key,r3,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,91,28,2,self-directed,n,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:09:49.291000+00:00,790.0
5ea96059c7f8c9bb71d4ecdb67ea496e,14,experiment,Key,r4,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,91,28,2,self-directed,n,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:09:50.110000+00:00,819.0
5ea96059c7f8c9bb71d4ecdb67ea496e,14,experiment,Key,r5,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,91,28,2,self-directed,n,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:09:50.658000+00:00,548.0
5ea96059c7f8c9bb71d4ecdb67ea496e,14,experiment,Key,r7,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,91,28,2,self-directed,n,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:09:51.435000+00:00,777.0
5ea96059c7f8c9bb71d4ecdb67ea496e,14,experiment,Key,question,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,91,28,2,self-directed,n,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:09:57.045000+00:00,5610.0
5ea96059c7f8c9bb71d4ecdb67ea496e,14,experiment,Selector,choice_selector,Selection,left_canvas,60d26e7cd9f0761e4d12b9f8,a,91,28,2,self-directed,n,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:10:00.149000+00:00,3104.0
5ea96059c7f8c9bb71d4ecdb67ea496e,15,experiment,EyeTracker,tracker,calibration,51,60d26e7cd9f0761e4d12b9f8,a,106,31,2,self-directed-x,y,művész,üzletember,üzletember,2025-09-22 16:33:59+00:00,2025-09-22 16:10:04.186000+00:00,4032.0
